GROUPAMA ENTREPRISES R;DEU FLOATING RATE NOTES-TFC;PICTET USD SHORT MID TERM;FON/03/CH;ROBECO GLO CR SHT MAT-IH EUR;/03/ch Green Transition Bond;Robeco Climate Bond;JUPITER DYNAMIC BOND;/03/CH INTL-FAMILY BUSINESS;AMU CPR BANCA /03/CH IMP-REUR;Harrris Associates Global Equity;POLEN FOCUS US GROWTH-EUR IN;ROBECO BP US PREMIUM EQ/F;ELEVA EUROPEAN SELECTION;ROBECO SUS EUR STARS EQ-FEUR;ABERDEEN ASIA PAC EQUITY;GQG PARTNERS EM MKT EQ-I EUR;Fidelity Global Financials;M&G LUX GLOBAL LIST INF-ECIA;/03/CH NEXT G/01/RATION;NEUBERGER BERMAN UNCORRELATED STRATEGIES;DNCA INVEST ALPHA BONDS;/03/ch Alternative Strategies
515,22;103,97;134,3;9,82;100,49;8,62;83,84;12,67;12,52;121,39;145,58;18,14;404,32;209,24;211,97;13,39;16,39;17,73;15,93;12,54;9,17;123,28;10,01
515,1;103,96;134,03;9,83;100,52;8,61;83,94;12,66;12,55;121,62;144,5;18,13;401,78;210,45;212,94;13,28;16,51;17,64;15,89;12,66;9,16;123,21;10,02
514,72;103,85;135,23;9,78;100,14;8,5;83,26;12,48;12,62;120,42;145,37;18,42;403,44;208,05;209,95;13,02;16,59;17,4;15,69;12,67;9,2;123,02;9,99
514,31;103,75;135,13;9,77;99,98;8,46;83,11;12,39;12,66;119,22;145,77;18,3;403,23;207,03;210,31;13,17;16,53;17,04;15,64;12,5;9,19;122,5;9,97
513,93;103,64;135,72;9,76;99,81;8,48;82,95;12,39;12,59;118,45;144,96;18,02;400,87;205,27;206,93;13,11;16,42;17,02;15,55;12,54;9,28;122,67;9,96
513,54;103,53;135,78;9,77;99,92;8,48;83,26;12,46;12,55;117,36;142,12;18,29;397,16;202,17;204,45;12,93;16,34;16,52;15,41;12,51;9,3;122,61;9,94
513,15;103,44;135,74;9,8;100,14;8,59;83,99;12,64;12,5;116,51;142,06;18,05;394,74;198,8;204,73;12,74;15,85;16,86;15,76;12,19;9,23;122,43;9,92
512,7;103,33;134,93;9,8;100,06;8,49;83,81;12,42;12,49;114,92;142,48;17,82;390,94;198,5;205,6;12,72;15,48;17,15;15,54;12,11;9,3;122,32;9,9
512,36;103,21;134,51;9,77;99,8;8,47;83,63;12,39;12,09;113,33;138,1;17,47;386,21;193,34;199,96;12,46;15,12;16,72;15,51;11,93;9,33;122,3;9,89
511,94;103,1;133,93;9,8;100,19;8,53;84,65;12,5;12,23;113,13;138,88;17,25;381,73;194,69;201,04;12,64;15,16;17,34;15,82;11,91;9,4;122,39;9,89
511,49;102,88;132,53;9,79;100,17;8,51;85,1;12,52;12,17;111,93;141,15;16,58;379,16;197,49;202,26;13;14,98;17,72;15,96;11,59;9,37;121,67;9,87
510,9;102,88;132,53;9,82;100,17;8,64;85,1;12,56;12,29;113,52;141,15;16,99;379,16;197,49;202,26;13,15;14,72;17,87;15,92;11,96;9,4;121,67;9,87
510,54;102,8;132,74;9,82;100,02;8,61;85,1;12,52;12,25;112,63;140,39;17,01;378,4;197,39;201,82;12,73;14,59;17,86;15,85;11,9;9,39;121,53;9,87
510,32;102,68;133,59;9,79;99,75;8,57;84,76;12,4;12,16;112,41;141,11;16,81;376,99;196,92;200,86;12,86;14,72;17,26;16,16;11,83;9,44;121,45;9,86
509,88;102,56;134,73;9,73;98,85;8,42;83,01;12,08;12,12;111,27;138,57;16,56;371,57;194,24;199,86;12,53;14,51;16,51;15,85;11,45;9,46;121,16;9,84
509,47;102,46;134,06;9,71;98,87;8,3;82,79;11,89;11,97;110,32;136,45;16,55;369,18;191,76;197,21;12,69;14;16,51;15,5;11,35;9,43;121,4;9,83
509,1;102,35;131,83;9,61;97,96;8,2;81,54;11,76;11,96;107,93;133,54;16,28;360,8;188,83;193,75;12,77;13,68;17,55;15,15;11,13;9,47;120,96;9,8
508,69;102,26;132,38;9,62;97,84;8,18;81,58;11,78;11,92;107,23;134,09;16,02;358,85;187,02;190,54;12,72;13,73;17,36;15,13;11,01;9,52;120,81;9,79
508,32;102,13;134,46;9,58;97,25;8,12;80,7;11,59;11,73;105,51;131,51;15,7;358,64;181,44;186,79;12,39;13,71;17,48;14,61;10,66;9,59;120,39;9,75
507,92;102,05;134,03;9,6;97,44;8,07;80,85;11,55;11,78;105,02;133,2;15,48;356,06;180,45;185,85;12,4;13,51;16,9;14,87;10,58;9,56;120,75;9,76
507,53;101,94;135,34;9,54;96,74;7,94;79,63;11,37;11,37;101,01;126,97;14,5;345,83;175,06;180,82;12,03;13,16;17,71;14,45;10,17;9,75;119,93;9,81
507,15;101,88;134,92;9,51;96,38;7,88;79,05;11,32;11,52;102,34;129,88;15,01;358,49;176,97;181,58;12,1;13,31;17,28;14,26;10,43;9,71;119,49;9,8
506,75;101,82;136,09;9,53;96,71;7,99;79,84;11,57;11,77;105,82;134,72;15,2;368,81;183,78;188,19;12,44;13,69;17,59;14,56;10,79;9,73;119,73;9,79
506,35;101,73;135,35;9,51;96,41;7,94;79,21;11,47;11,79;105,08;135,09;15,35;365,26;181,76;187,73;12,32;13,4;17,82;14,17;10,72;9,73;118,79;9,78
505,96;101,67;134,78;9,51;96,65;8,02;79,87;11,62;11,86;106,15;136,64;15,17;364,54;183,31;188,66;12,4;13,61;17,36;14,84;10,86;9,73;119,72;9,79
505,57;101,56;133,81;9,51;96,87;8,11;80,34;11,71;12;106,89;137,58;15,23;364,06;184,46;190,24;12,52;13,55;18,02;15,43;10,85;9,69;120,11;9,77
505,21;101,47;133,77;9,52;96,82;8,18;80,63;11,84;12,28;109,24;141,2;15,89;369,04;188,57;194,37;12,9;13,76;17,85;15,88;11,25;9,66;120,27;9,75
504,79;101,37;133,19;9,53;96,83;8,17;80,81;11,82;12,23;108,21;139,06;16,24;366,37;185,7;191,77;12,82;13,54;18,49;15,47;11,26;9,66;119,97;9,74
504,41;101,28;132,17;9,54;96,95;8,25;81,15;11,86;12,19;109,05;140,61;16,3;368,71;187,38;192,37;13,01;13,56;17,96;15,61;11,42;9,6;119,86;9,7
504,07;101,18;132,19;9,53;96,59;8,25;80,8;11,74;12,19;107,35;137,76;15,75;362,85;184,78;189,75;12,74;13,31;18,4;15,51;11,08;9,61;119,73;9,65
503,71;101,1;131;9,51;96,56;8,25;80,53;11,72;12,19;105,95;137,06;15,5;360,14;183,25;189,09;12,77;13,01;17,6;15,26;10,93;9,6;119,55;9,65
503,33;101,03;129,84;9,51;96,73;8,25;81,04;11,83;12,19;107,61;140,21;15,92;363,93;186,77;192,26;13,32;13,06;17,67;15,61;11,25;9,6;119,91;9,65
502,96;100,94;129,4;9,52;96,92;8,21;81,45;11,75;12,2;108,42;140,75;16,06;361,07;186,45;190,84;13,37;13,14;18,16;15,71;11,41;9,58;119,89;9,65
502,61;100,87;128,98;9,51;96,79;8,28;81,7;11,85;12,54;111,19;142,84;16,42;364,24;191,41;196,23;13,7;13,47;18,19;16,23;11,7;9,56;119,85;9,66
502,28;100,81;128,08;9,5;96,72;8,3;81,88;11,89;12,37;110,11;141,65;16,27;360,71;189,18;194,23;13,42;12,98;18,39;16,09;11,61;9,52;119,47;9,69
501,9;100,71;126,64;9,48;96,64;8,27;81,75;11,9;12,35;108,85;140,26;16,27;349,71;188,62;193,16;13,73;12,83;17,96;15,99;11,58;9,52;119,25;9,7
501,63;100,6;129,38;9,44;95,92;8,18;80,89;11,73;12,19;107,89;137,94;15,61;352,19;183,72;188,04;13,06;12,79;17,71;15,8;11,28;9,56;118,98;9,7
501,29;100,51;129,96;9,46;96,16;8,27;81,68;11,85;12,36;110,03;140,17;15,82;356,98;190,12;194,81;13,29;12,97;17,31;15,99;11,48;9,59;118,98;9,71
500,94;100,4;129,41;9,48;96,26;8,26;81,97;11,92;12,33;108,11;137,37;15,63;348,5;186,96;190,84;13,6;12,88;17,39;15,76;11,31;9,54;119,35;9,72
500,62;100,33;129,85;9,46;96,28;8,24;81,83;11,95;12,57;111,94;141,44;15,84;352,89;191,22;195,32;13,99;13,06;16,9;16,16;11,59;9,62;119,28;9,71
500,29;100,27;131,9;9,49;96,4;8,21;82,22;11,92;12,29;110,33;138,84;15,39;352,68;188,34;192,07;13,51;13,01;17,48;16,32;11,35;9,57;119,17;9,69
499,99;100,16;132,41;9,5;96,52;8,26;82,53;11,95;12,3;110,73;137,79;15,51;349,9;189,2;193,13;13,42;12,76;17,2;16,07;11,32;9,57;118,91;9,67
499,59;100,07;132,33;9,44;96,09;8,16;81,52;11,86;12,28;109,9;135,55;15,1;344,81;189,56;192,44;13,26;12,73;17,03;15,83;11,12;9,62;118,81;9,66
498,98;99,86;130,86;9,52;97,09;8,3;83,75;11,99;12,19;106,92;133,29;14,56;338,25;188,7;193,59;13,3;12,23;16,76;16,399;10,95;9,58;118,39;9,644
498,69;99,78;129,99;9,53;97,11;8,32;83,86;12,14;12,21;105,46;130,7;14,17;330,72;186,36;192,25;13,42;11,93;17,29;15,876;10,73;9,64;117,96;9,625
498,37;99,68;129,17;9,46;96,56;8,26;82,91;12,1;12,29;105,57;133,21;14,47;337,39;187,29;193,14;13,41;11,96;17,17;15,975;10,79;9,61;118,14;9,655
497,99;99,57;129,4;9,45;96,51;8,23;82,9;12,08;12,42;106,56;134,58;14,52;343,07;188,47;194,05;13,7;12,04;17,66;16,156;10,97;9,71;117,97;9,647
497,72;99,47;128,79;9,47;96,63;8,27;83,41;12,17;12,35;106,42;133,69;14,69;342,31;187,25;191,79;13,89;12,07;18,13;16,227;10,97;9,74;118,09;9,663
497,5;99,37;130,42;9,5;96,83;8,32;84,1;12,2;12,25;105,54;133,16;14,54;339,82;185,02;189,54;13,87;11,83;18,18;16,142;10,94;9,76;117,45;9,645
497,23;99,24;129,87;9,45;96,04;8,2;83,17;12,03;12,13;105,12;133,22;14,33;337,15;184,02;187,7;13,86;11,79;18,64;15,751;10,93;9,76;117,21;9,63
496,94;99,21;130,59;9,48;96,41;8,21;83,78;12,07;12,01;103,02;130,2;14,1;328,55;180,3;184,92;13,67;11,59;18,05;15,346;10,75;9,75;116,43;9,598
496,69;99,18;133,1;9,46;95,7;8,18;83,24;12,08;11,98;104,55;130,2;14,01;340,12;178,17;183,72;13,15;11,72;17,84;15,657;10,77;9,87;115,71;9,601
496,47;99,44;132,6;9,44;95,27;8,09;81,81;12,08;12,23;106,12;135,72;13,64;351,85;187,15;188,47;13,52;12,19;16,9;15,91;10,98;10,4;116,85;9,671
496,22;99,35;131,98;9,43;95,12;8,07;81,43;11,99;12,31;106,67;137,13;13,76;363,37;186,78;188,44;13,71;12,01;16,66;15,745;10,99;10,34;117,12;9,688
495,99;99,26;132,35;9,46;95,59;8,12;82,43;12,02;12,3;107,46;138,08;13,9;364,84;187,25;189;13,81;12,08;17,61;16,088;11,08;10,22;116,57;9,682
495,74;99,2;131,43;9,47;95,79;8,21;82,74;12,17;12,32;108,25;140,55;14,41;367,73;188,78;188,81;14,28;12,18;19,06;16,388;11,27;10,25;116,7;9,67
495,54;99,13;130,43;9,49;96,32;8,31;83,69;12,3;12,37;107,23;139,76;14,34;361,89;187,46;187,15;14,61;11,98;18,22;16,386;11,23;10,23;116,44;9,66
495,35;98,99;128,82;9,51;96,94;8,37;85,05;12,3;12,41;107,21;140,94;15,06;360,37;185,74;186,13;14,79;11,92;18,62;16,269;11,35;10,21;116,08;9,679
495,15;98,85;129,54;9,47;96,41;8,34;84,15;12,23;12,32;105,66;137,6;14,23;360,29;183,91;184,74;15,17;12,29;19,27;16,251;11,05;10,27;116,03;9,657
494,95;98,72;130,34;9,48;96,47;8,38;84,63;12,27;12,11;104,14;133,62;13,47;350,48;180,64;184,72;14,58;12,18;19,17;16,229;10,81;10,35;115,22;9,63
494,75;98,6;129,99;9,44;96,15;8,25;84,35;12,08;12,11;105,62;135,07;13,64;357,57;180,65;183,5;14,37;12,06;19,91;16,402;10,87;10,39;115,64;9,632
494,57;98,47;132,93;9,41;95,24;8,17;83,16;11,84;11,92;103,53;129,97;12,77;355,36;176,33;180,17;13,97;11,94;19,7;16,037;10,52;10,44;115,33;9,602
494,38;98,4;131,12;9,39;95,1;8,11;82,78;11,66;11,58;102,82;124,75;12,89;351,15;170,75;176,89;13,5;11,85;19,68;15,61;10,5;10,47;115,54;9,614
494,19;98,33;132,02;9,4;95,33;8,18;83,35;11,8;11,52;103;123,94;12,75;350,04;169,7;176,11;13,56;11,91;19,06;15,721;10,52;10,49;114,89;9,617
494,05;98,3;131,33;9,43;95,73;8,31;84,4;12,02;11,53;104,23;124,89;13,06;350,23;169,94;177,12;13,6;11,7;18,85;16,123;10,73;10,42;114,36;9,603
493,91;98,25;132,44;9,46;95,63;8,32;84,59;12,04;11,64;106,18;127,76;13,27;359,43;171,56;178,47;13,57;12,05;19,02;16,094;10,86;10,4;114,3;9,607
493,76;98,2;133,09;9,45;95,59;8,23;84,46;11,94;11,8;108,62;132,01;13,83;371,25;174,47;181,56;13,69;12,44;18,63;16,562;11,16;10,4;114,45;9,613
493,62;98,18;133,67;9,42;95,04;8,19;83,9;11,89;11,66;108,42;130,89;13,51;370,9;173,1;180,17;13,18;12,27;;16,564;11,04;10,39;113,7;9,602
493,48;98,12;134,62;9,39;94,85;8,1;83,57;11,71;11,5;105,59;129,07;13,51;364,97;168,1;175,13;13,18;12,1;18,57;16,215;10,88;10,42;113,78;9,605
493,38;98,03;136,62;9,37;94,5;7,88;83,3;11,44;11,53;107,77;127,67;13,55;373,1;169,38;177,8;12,09;12,09;19,83;16;10,91;10,5;113,87;9,652
493,23;97,97;141,45;9,33;93,25;7,84;81,95;11,37;10,92;104,57;123,27;12,49;371,17;160,86;170,03;11,66;12,78;19,75;15,785;10,55;10,85;113,39;9,718
493,14;97,93;138,72;9,36;93,72;7,81;82,82;11,35;10,95;104,05;122,93;13,56;365,67;160,97;169,53;11,7;12,43;19,34;15,468;10,66;10,75;113,05;9,679
493,07;97,91;140,13;9,28;92,75;7,71;81,26;11,23;10,71;101,04;121,8;13,5;349,61;157,51;164,21;11,76;12,81;19,72;15,133;10,35;10,93;111,81;9,727
493;97,92;142,24;9,3;92,86;7,76;81,39;11,27;10,67;101,4;120,9;13,31;354,83;153,7;161,5;11,74;12,57;19,1;14,859;10,28;10,96;111,83;9,731
492,93;97,96;140,79;9,34;93,73;7,91;82,34;11,53;10,81;103,3;122,25;13,87;351,77;156,39;162,12;12,61;13,08;18,76;15,557;10,75;10,95;111,78;9,7
492,85;98,05;141,9;9,32;93,65;7,84;82,36;11,43;10,4;101,47;116,75;13,34;340,15;150,41;157,77;12,04;12,32;18,47;15,448;10,41;10,97;111,14;9,728
492,78;98,15;141,37;9,39;94,7;8,13;83,78;11,83;10,68;104,82;123,59;13,57;346,25;156,38;163,14;12,56;13,02;17,3;16,444;10,71;10,85;112,47;9,732
492,73;98,13;139,25;9,45;95,49;8,2;84,83;11,93;10,98;107,58;128,75;14,41;355,39;161,49;169,13;13,07;12,97;17,85;17,074;11,16;10,72;112,24;9,714
492,71;98,11;140,49;9,46;95,95;8,23;85,1;11,98;11,08;109,58;129,63;14,95;362,05;161,76;168,19;13,08;12,98;16,59;17,022;11,25;10,73;112,41;9,716
492,72;98,08;140,71;9,48;95,93;8,26;85,42;11,98;11,02;108,2;128,13;14,77;357,7;159,4;166,12;13,36;13,15;16,37;16,798;11,1;10,72;112,43;9,719
492,73;98,09;140,41;9,55;96,77;8,37;86,74;12,12;11,49;114,93;135,37;15,65;373,28;169,63;175,77;13,72;13,57;17,76;17,69;11,72;10,61;112,95;9,707
